time_s,sample,concentration_cells_ml,led_mode,r,g,b,c,dark_r,dark_g,dark_b,dark_c
0.0,S2_algae_1.5k_cells_ml,1500,white,14118,14267,9965,36888,257.00,178.19,135.38,569.19
2.0,S2_algae_1.5k_cells_ml,1500,white,14061,14266,9960,36831,257.00,178.19,135.38,569.19
4.0,S2_algae_1.5k_cells_ml,1500,white,14026,14275,9956,36801,257.00,178.19,135.38,569.19
6.0,S2_algae_1.5k_cells_ml,1500,white,15359,15981,10621,39950,257.00,178.19,135.38,569.19
8.0,S2_algae_1.5k_cells_ml,1500,white,14679,15877,10384,39132,257.00,178.19,135.38,569.19
10.0,S2_algae_1.5k_cells_ml,1500,white,14599,15862,10354,39020,257.00,178.19,135.38,569.19
12.0,S2_algae_1.5k_cells_ml,1500,white,14562,15857,10344,38980,257.00,178.19,135.38,569.19
14.0,S2_algae_1.5k_cells_ml,1500,white,14536,15854,10336,38947,257.00,178.19,135.38,569.19
16.0,S2_algae_1.5k_cells_ml,1500,white,14540,15855,10334,38953,257.00,178.19,135.38,569.19
18.0,S2_algae_1.5k_cells_ml,1500,white,14514,15853,10330,38925,257.00,178.19,135.38,569.19
20.0,S2_algae_1.5k_cells_ml,1500,white,14527,15857,10336,38940,257.00,178.19,135.38,569.19
22.0,S2_algae_1.5k_cells_ml,1500,white,14501,15849,10333,38907,257.00,178.19,135.38,569.19
24.0,S2_algae_1.5k_cells_ml,1500,white,14505,15852,10337,38918,257.00,178.19,135.38,569.19
26.0,S2_algae_1.5k_cells_ml,1500,white,14521,15855,10344,38936,257.00,178.19,135.38,569.19
28.0,S2_algae_1.5k_cells_ml,1500,white,14514,15858,10341,38929,257.00,178.19,135.38,569.19
31.0,S2_algae_1.5k_cells_ml,1500,white,14528,15864,10349,38952,257.00,178.19,135.38,569.19
33.0,S2_algae_1.5k_cells_ml,1500,white,14511,15859,10341,38921,257.00,178.19,135.38,569.19
35.0,S2_algae_1.5k_cells_ml,1500,white,14526,15862,10350,38946,257.00,178.19,135.38,569.19
37.0,S2_algae_1.5k_cells_ml,1500,white,14515,15862,10344,38927,257.00,178.19,135.38,569.19
39.0,S2_algae_1.5k_cells_ml,1500,white,14512,15857,10347,38925,257.00,178.19,135.38,569.19
41.0,S2_algae_1.5k_cells_ml,1500,white,14529,15865,10353,38951,257.00,178.19,135.38,569.19
43.0,S2_algae_1.5k_cells_ml,1500,white,14513,15863,10348,38938,257.00,178.19,135.38,569.19
45.0,S2_algae_1.5k_cells_ml,1500,white,14516,15861,10350,38937,257.00,178.19,135.38,569.19
47.0,S2_algae_1.5k_cells_ml,1500,white,14516,15858,10350,38936,257.00,178.19,135.38,569.19
49.0,S2_algae_1.5k_cells_ml,1500,white,14521,15867,10353,38938,257.00,178.19,135.38,569.19
51.0,S2_algae_1.5k_cells_ml,1500,white,14515,15863,10351,38935,257.00,178.19,135.38,569.19
54.0,S2_algae_1.5k_cells_ml,1500,white,14517,15863,10352,38929,257.00,178.19,135.38,569.19
56.0,S2_algae_1.5k_cells_ml,1500,white,14523,15866,10356,38942,257.00,178.19,135.38,569.19
58.0,S2_algae_1.5k_cells_ml,1500,white,14519,15864,10354,38930,257.00,178.19,135.38,569.19
60.0,S2_algae_1.5k_cells_ml,1500,white,14515,15865,10355,38935,257.00,178.19,135.38,569.19
